LGA,AGE5P - 0-4 years,AGE5P - 5-9 years,AGE5P - 10-14 years,AGE5P - 15-19 years,AGE5P - 20-24 years,AGE5P - 25-29 years,AGE5P - 30-34 years,AGE5P - 35-39 years,AGE5P - 40-44 years,AGE5P - 45-49 years,AGE5P - 50-54 years,AGE5P - 55-59 years,AGE5P - 60-64 years,AGE5P - 65-69 years,AGE5P - 70-74 years,AGE5P - 75-79 years,AGE5P - 80-84 years,AGE5P - 85-89 years,AGE5P - 90-94 years,AGE5P - 95-99 years,AGE5P - 100 years and over,HEAP - Postgraduate Degree Level,HEAP - Graduate Diploma and Graduate Certificate Level,HEAP - Bachelor Degree Level,HEAP - Advanced Diploma and Diploma Level,HEAP - Certificate III & IV Level,HEAP - Secondary Education - Years 10 and above,HEAP - Certificate I & II Level,HEAP - Secondary Education - Years 9 and below,HEAP - Supplementary Codes,HEAP - Not stated,HEAP - Not applicable,"INCP - $1,000-$1,249 ($52,000-$64,999)","INCP - $1,250-$1,499 ($65,000-$77,999)","INCP - $1,500-$1,749 ($78,000-$90,999)","INCP - $1,750-$1,999 ($91,000-$103,999)","INCP - $1-$149 ($1-$7,799)","INCP - $150-$299 ($7,800-$15,599)","INCP - $2,000-$2,999 ($104,000-$155,999)","INCP - $3,000 or more ($156,000 or more)","INCP - $300-$399 ($15,600-$20,799)","INCP - $400-$499 ($20,800-$25,999)","INCP - $500-$649 ($26,000-$33,799)","INCP - $650-$799 ($33,800-$41,599)","INCP - $800-$999 ($41,600-$51,999)",INCP - Negative income,INCP - Nil income,INCP - Not applicable,INCP - Not stated,INDP - Accommodation and Food Services,INDP - Administrative and Support Services,"INDP - Agriculture, Forestry and Fishing",INDP - Arts and Recreation Services,INDP - Construction,INDP - Education and Training,"INDP - Electricity, Gas, Water and Waste Services",INDP - Financial and Insurance Services,INDP - Health Care and Social Assistance,INDP - Inadequately described,INDP - Information Media and Telecommunications,INDP - Manufacturing,INDP - Mining,INDP - Not applicable,INDP - Not stated,INDP - Other Services,"INDP - Professional, Scientific and Technical Services",INDP - Public Administration and Safety,"INDP - Rental, Hiring and Real Estate Services",INDP - Retail Trade,"INDP - Transport, Postal and Warehousing",INDP - Wholesale Trade,"LFHRP - Employed, worked full-time","LFHRP - Employed, worked part-time","LFHRP - Employed, away from work","LFHRP - Employed, hours of work not stated","LFHRP - Unemployed, looking for full-time work","LFHRP - Unemployed, looking for part-time work",LFHRP - Not in the labour force,LFHRP - Labour force status not stated,LFHRP - Not applicable,GNGP - National Government,GNGP - State/Territory Government,GNGP - Local Government,GNGP - Private sector,GNGP - Not stated,GNGP - Not applicable,MSTP - Never married,MSTP - Widowed,MSTP - Divorced,MSTP - Separated,MSTP - Married,MSTP - Not applicable,"RLHP - Husband, Wife or Partner in a registered marriage","RLHP - Husband, Wife or Partner in de facto marriage, opposite-sex couple","RLHP - Husband, Wife or Partner in de facto marriage, male same-sex couple","RLHP - Husband, Wife or Partner in de facto marriage, female same-sex couple",RLHP - Lone parent,RLHP - Natural or adopted child under 15,RLHP - Step child under 15,RLHP - Foster child under 15,RLHP - Grandchild under 15,RLHP - Otherwise related child under 15,RLHP - Unrelated child under 15,RLHP - Natural or adopted dependent student,RLHP - Dependent student step child,RLHP - Dependent student foster child,"RLHP - Non-dependent natural, or adopted child",RLHP - Non-dependent step child,RLHP - Non-dependent foster child,RLHP - Brother/sister,RLHP - Father/mother,RLHP - Non-dependent grandchild,RLHP - Grandfather/grandmother,RLHP - Cousin,RLHP - Uncle/aunt,RLHP - Nephew/niece,RLHP - Other related individual (nec),RLHP - Unrelated individual living in family household,RLHP - Group household member,RLHP - Lone person,RLHP - Visitor (from within Australia),RLHP - Other non-classifiable relationship,RLHP - Not applicable,RELP - Buddhism,RELP - Christianity,RELP - Hinduism,RELP - Islam,RELP - Judaism,RELP - Other Religions,RELP - Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,RELP - Inadequately described,RELP - Not stated,SEXP - Male,SEXP - Female,MDCP - Married in a registered marriage,MDCP - Married in a de facto marriage,MDCP - Not married,MDCP - Not applicable,PreferencePercent,PartyNm
Paterson,10345,10832,9795,9481,9059,9417,9503,9105,9865,9836,10039,9995,9518,9515,7504,5212,3426,2079,890,205,16,2092,1331,9668,10259,28687,40488,194,14668,4119,13148,30967,9906,6300,5163,3511,5214,9669,4877,1969,13694,12613,10757,10315,10445,476,9036,30967,10722,5312,2435,825,666,5916,4268,777,1402,8478,1899,452,4961,3093,91154,691,2942,2757,4929,1000,7150,3229,1292,38666,22190,2478,1140,3379,2108,46692,8015,30967,2841,5452,817,54672,691,91154,39684,7592,12574,4767,60052,30967,54088,11543,147,284,7822,26319,1736,289,418,120,61,5533,796,29,8553,1023,11,1082,895,361,173,72,55,135,82,1324,2990,13713,5429,6077,4470,1047,99770,491,407,63,573,40143,577,12565,76426,79208,53412,12641,44657,44920,55.04,Labor
Pearce,14391,14198,13067,12246,11766,13893,14339,12822,13542,13375,11534,9420,7776,7142,4963,3483,2116,1131,437,114,4,2781,1798,13781,13413,29550,50703,80,7176,4648,16172,41654,12843,9191,7908,5546,5933,8687,8223,3738,9750,8812,9425,9497,11313,860,14491,41654,13879,5020,2892,2605,1081,10519,6059,940,1995,9660,3031,726,4698,4817,97278,902,3752,3828,5290,1411,8857,4054,2342,52937,26501,3526,1524,4607,2898,37665,10453,41654,1620,7174,1175,73620,902,97278,48243,4498,11195,5066,71106,41654,62411,15277,197,316,7538,35900,1936,204,334,175,79,7817,906,19,8278,1119,11,1536,1084,214,75,126,60,203,99,1687,3150,10566,4774,9273,6392,2199,91418,2536,2111,129,1995,62241,789,18337,89971,91796,61821,16384,44486,59081,57.52,Liberal
Perth,8159,7196,6090,6790,11078,16448,16468,12216,10401,9828,9215,8625,7736,6568,4611,3642,2720,2030,1018,220,27,8610,3701,29283,12057,15863,34743,53,6465,4048,14824,21447,10581,8448,7790,5749,4550,7428,10602,7056,8783,8771,7895,7774,9136,687,10825,21447,13574,6636,2795,313,1695,6058,6629,811,2616,9237,2777,1158,3400,4093,72807,697,2872,8386,5762,1488,6338,2764,1766,50261,24188,2645,1195,3636,2543,33922,11255,21447,2619,9179,917,64867,697,72807,54612,5870,11159,3579,54419,21447,47113,13142,877,541,4802,19117,702,29,94,57,34,5158,418,4,5729,467,8,1907,571,167,73,209,83,218,90,2069,9702,18041,4055,8395,7208,4887,68155,3105,3239,1271,1268,51982,772,16416,75453,75637,46722,14955,49722,39693,54.93,Australian Labor Party
Petrie,11247,11371,10345,9749,9617,9996,11383,11154,11622,11040,10274,9238,8602,8621,6602,4896,3604,2471,1127,280,22,3667,2108,15206,12699,25096,45036,108,9771,3948,12669,32964,12139,7922,6494,3948,5143,8417,5358,2379,11492,11685,10834,11022,12028,573,10202,32964,10665,4527,2484,314,1004,6960,5597,901,2090,10822,2393,949,4971,737,90565,856,2859,4030,5005,1402,7682,5088,2026,46033,22773,2539,1356,3756,2503,43409,7934,32964,2125,8594,807,60317,856,90565,42218,7777,13521,5310,61473,32964,55857,12437,222,406,8128,28328,1994,120,291,135,82,6026,860,11,8387,1067,9,1618,1143,262,134,153,67,215,125,1905,4259,14332,4235,5876,4594,1812,92661,2909,875,99,1578,48752,849,13740,78560,84707,55155,13764,48694,45659,58.4,Liberal National Party of Queensland
Rankin,14609,14263,12628,12541,12835,13810,14650,13235,12061,11302,10438,9807,8526,7359,4744,2878,1748,1073,535,107,15,5080,1668,16056,11747,23567,51056,162,10303,5330,12702,41498,12920,8043,5854,3489,5892,10753,3858,1377,11265,10681,10602,12456,13842,915,14977,41498,10734,4655,2968,492,863,7047,5880,643,2067,9787,3161,856,7208,456,101775,1199,3153,4055,4133,1432,8225,5943,3153,49501,23799,2358,1729,5067,3080,43913,8224,41498,1931,7336,871,66055,1199,101775,50213,5348,11502,5393,65207,41498,59027,11748,137,252,9319,35778,1895,116,438,272,129,8031,879,15,11163,1161,11,2319,1632,355,147,291,130,476,208,3203,5287,9576,4439,7820,2915,5127,91050,3654,8680,96,2714,50920,843,16094,88622,90547,58100,13060,54199,53809,56.44,Australian Labor Party
Reid,10679,8937,7684,8897,15940,20789,19370,14407,12069,11072,10742,9892,8189,6868,5017,3982,3170,2229,1121,273,28,16750,3098,38153,13914,11432,40939,44,8408,6274,15033,27300,13142,9317,8596,6278,5195,8154,10943,7876,9758,9361,9081,9511,11393,1003,20418,27300,14015,7084,3476,177,1397,5928,6644,507,7489,10327,3400,2574,4055,139,91554,1433,2770,10588,4340,2328,8132,3386,3609,59273,26299,2405,1822,2970,2935,48508,9849,27300,3108,6986,597,77664,1433,91554,57924,6266,9849,3414,76598,27300,65912,9412,420,382,5901,24857,544,24,85,58,52,8301,456,7,9281,481,0,2793,1465,214,110,373,103,416,163,5269,12855,12873,3644,8518,6360,8944,82895,12906,5002,267,1141,51800,560,17833,89628,91717,65270,10861,61064,44152,53.18,Liberal
Richmond,7803,8909,8725,8210,6300,6532,7735,8281,9740,10129,10801,12010,11698,11041,8317,6349,4763,3515,1615,400,37,3450,2271,15501,11875,23471,38382,133,10874,4438,17080,25434,9351,5394,4279,2945,4998,9243,3482,2206,14447,14550,12694,11048,10483,472,7320,25434,14571,6493,2483,1809,1148,6326,5765,505,980,9631,2094,702,2643,399,91094,880,2223,3330,3026,1278,6888,2124,1103,31784,26472,2215,1346,2473,1959,49887,11341,25434,1258,5212,1380,53087,880,91094,40201,9440,15911,4721,57203,25434,49967,11706,253,304,7365,21839,1001,118,216,87,40,5110,551,17,6934,645,13,1016,947,265,129,53,44,97,94,1923,5706,16678,5579,8789,5422,2218,78495,769,185,427,1082,52064,958,16729,73764,79147,49295,12940,47597,43082,54.08,Labor
Riverina,9699,10780,10222,10017,9518,8812,8787,8507,9054,9588,10106,10397,9751,9370,7175,5800,3977,2701,1208,297,35,2233,1526,11608,8672,24210,40992,195,15160,3937,16556,30697,9921,6116,4740,3385,4814,9186,3876,2010,12961,12357,11188,11110,11258,631,7809,30697,13729,4418,1726,8288,545,4646,6211,727,1015,8891,1702,465,4226,1000,88630,842,2577,2348,5224,651,6889,3076,1690,42062,21174,2460,1468,2481,1500,44365,9584,30697,3036,6067,1850,55367,842,88630,40840,8602,10440,4489,60721,30697,52647,10187,86,213,6660,26150,1409,187,347,128,53,4937,544,32,7031,640,13,1121,594,308,132,67,47,101,77,1065,3709,16187,5724,7311,8088,676,109311,580,896,35,428,28966,468,14422,77165,78628,52220,10912,43255,49401,69.48,The Nationals
Robertson,8067,8665,8371,8381,7495,7373,7635,8090,9368,9623,9935,10054,9119,9019,7524,5497,4127,3004,1404,318,24,3853,2002,15067,11908,22479,36272,115,9857,4531,11918,25101,9497,6304,5534,4036,5028,7987,5463,2841,11228,11838,10193,9370,9772,439,8837,25101,9635,4636,2278,574,1040,6651,5236,559,2429,9950,1870,1453,3253,240,80218,670,2565,4207,3970,1188,6412,2151,1541,37349,22236,2238,1062,2318,1850,44134,6808,25101,1327,7278,1071,52527,670,80218,36552,8272,12871,4287,56014,25101,50985,9540,243,288,6811,22183,1037,91,224,93,43,5921,611,17,8179,892,12,1006,955,253,110,47,64,100,82,1390,3591,14987,4554,4652,4130,1661,85694,626,484,210,508,42112,574,11234,69298,73802,50359,10702,45032,37013,54.24,Liberal
Ryan,8269,9888,9460,12105,16781,11043,9851,9992,10895,10460,9141,7956,7230,6645,5034,3491,2315,1737,909,238,30,14099,4548,33035,11332,11798,36134,29,3646,2811,8396,27618,9973,7923,7732,5573,6550,8296,9913,8406,7289,7563,8330,7285,8420,487,14074,27618,8030,4893,2283,348,1437,4143,10501,753,3127,10194,1782,1389,2325,1246,77825,500,2138,10228,6875,1676,6077,2192,1536,45892,26309,2520,934,2598,3319,38060,6205,27618,7077,9447,718,57905,500,77825,50883,4817,7931,2661,59558,27618,53644,9334,319,286,4717,25100,936,24,92,54,32,8194,632,5,5841,512,3,1851,652,114,56,144,44,150,106,2118,11452,10647,4010,4225,8148,2786,76836,2442,2084,384,812,55162,935,11994,74926,78508,53288,10303,47215,42632,56.03,Liberal National Party of Queensland
Scullin,11907,10407,9287,9404,11446,12656,14135,12057,10766,10250,9608,8690,7612,6546,4624,3722,2744,1450,540,108,28,5176,1720,16056,11501,17610,42512,101,15226,5619,10937,31597,11088,6940,4823,2844,5969,11206,3211,1020,12488,9923,9269,10608,11760,885,14735,31597,9412,4268,2593,349,751,6378,4511,818,2548,8926,2849,1118,6951,80,88438,1207,2718,3389,3506,874,8217,5172,2254,42980,22748,2167,1756,3295,2576,44545,6370,31597,2017,5433,942,59950,1207,88438,40229,5955,8325,4019,67783,31597,62443,6255,151,170,6934,28816,812,28,206,121,67,8439,529,5,12601,833,9,2001,1407,272,92,248,85,311,197,1951,3656,8476,3213,5324,2235,6045,85414,7482,13856,38,5894,27111,677,11528,78235,79672,61506,7558,48028,40929,71.66,Australian Labor Party
Shortland,8428,9123,8708,8881,8002,7355,8173,7992,9007,9741,9678,9890,9168,9049,7627,5742,4073,2603,1019,214,7,2916,1742,12968,10298,25631,36807,165,13026,4257,10398,26267,9766,6070,5207,3748,5007,8397,5134,2422,13369,12494,10446,9527,9787,420,8375,26267,8036,4460,2040,194,752,6903,5437,982,2134,10197,1661,607,3889,1321,82404,565,2530,3268,3811,883,6625,2474,1341,36383,22446,2338,912,2614,1990,45943,5580,26267,1765,7365,1014,51373,565,82404,36165,8051,11767,4123,58106,26267,53508,9904,148,225,7243,22975,1289,182,310,86,49,6050,667,21,8599,967,13,890,917,355,155,60,48,122,76,1239,2878,13752,4892,3307,3555,1172,89568,406,286,67,428,42399,544,9612,70550,73933,52910,10874,44051,36647,54.45,Labor
Solomon,8291,7334,6402,6009,7399,11047,10874,9080,8021,7653,6775,5990,4914,3703,2166,1393,697,377,132,35,0,4277,2118,13448,7459,15228,24709,87,4579,2551,11823,22013,9015,7104,6355,4926,2296,3281,7532,4172,3794,3787,4248,5088,6992,423,6447,22013,10826,4163,1790,344,1252,5988,4753,1008,787,5913,1703,672,1575,1054,51207,783,1842,3671,10638,983,4401,2686,1145,41423,12079,2330,1245,1852,1051,17147,9158,22013,5487,9634,378,40788,783,51207,36225,2410,7141,2699,37788,22013,30974,10922,216,210,3859,18021,972,164,218,115,97,3191,421,12,3943,593,5,1136,594,178,87,138,72,249,106,2212,5178,7678,3468,8041,5194,3266,49299,2814,1869,76,897,35616,720,13691,55347,52907,30661,11660,29642,36318,53.08,Australian Labor Party (Northern Territory) Branch
Spence,13339,12751,11197,11465,12790,12799,12713,10585,10444,11071,11445,10434,8491,7125,5412,4380,3162,1835,673,98,15,1336,799,7528,8956,26111,55826,130,14655,5830,13862,37382,11210,6078,3919,2301,6152,14063,2183,667,15322,13802,11698,12023,12839,610,11066,37382,11089,3948,2984,1637,518,5567,3956,749,1021,8938,2013,536,7845,259,106246,713,2546,1912,5000,532,8357,4198,2186,39603,23054,2406,1315,5599,3091,52060,8210,37382,2803,4629,570,57440,713,106246,52141,7494,13573,5963,56284,37382,51158,13044,192,227,10897,31656,1984,167,338,201,42,7405,813,15,10195,1191,4,1729,1121,267,65,132,36,182,72,1910,4203,16141,5619,7055,3648,5023,78784,2315,4227,14,1262,64773,918,15118,85384,87320,50335,14180,57118,50950,64.13,Australian Labor Party
Stirling,9593,8419,7334,7428,9359,13401,14170,10998,10206,9408,8696,8196,7469,6892,5376,4505,3347,2113,871,202,4,5738,2741,23064,11989,16814,37340,86,8102,5040,11722,25340,10765,7808,6558,4749,4843,8343,7855,4728,9664,9261,8375,8450,9500,680,10964,25340,10121,4901,2647,357,1300,7207,6078,790,2253,9189,2595,974,3449,2631,76817,770,2898,5863,4409,1382,6934,2777,1787,43583,24026,2352,1225,3554,2442,37518,7966,25340,1810,7640,737,60219,770,76817,43966,6196,10868,3599,58014,25340,51567,10261,285,264,5764,22562,799,37,184,100,44,6085,528,6,6901,509,0,2124,729,240,97,279,75,266,124,2081,6045,16214,3793,6171,3881,4915,74932,3913,6601,2167,2140,39582,677,13058,72602,75393,51054,11326,48055,37551,55.65,Liberal
Sturt,9045,9663,9664,10738,11092,11144,11195,11031,11395,12049,11432,10810,9724,9681,8034,6617,5048,3755,1852,436,47,11213,4179,31396,13317,16377,43881,57,10533,4895,10230,28359,12353,8487,7550,5476,6759,10465,7649,5759,12555,12675,10993,10332,11736,642,14087,28359,8610,5521,2564,483,1202,5384,8595,845,2991,13333,1732,1392,4454,685,94087,605,3076,7678,5928,1446,7950,2405,2186,46688,30182,2556,1050,3022,2817,53757,6062,28359,3704,9365,696,66087,605,94087,47249,9731,12211,3493,73502,28359,66562,8890,278,266,6661,25929,850,55,127,69,39,9445,702,4,8545,552,7,1780,727,172,101,124,39,174,95,1696,6194,19575,4716,4008,6035,3960,91113,4526,3048,258,2557,55553,678,12785,83934,90610,66199,9814,56654,41909,56.87,Liberal
Swan,9806,8197,7030,8615,15575,17871,16656,12504,10255,9668,8953,8653,7712,6608,4673,3815,2863,2249,1178,292,22,8785,3171,27500,12562,17247,41355,83,6859,4412,16192,25033,11713,8367,7180,5236,5060,8788,8792,5468,9429,9812,8883,8607,10412,911,14765,25033,14740,6724,3100,410,1805,6365,6530,789,2239,9201,2858,932,3595,3947,84676,861,3024,6549,4688,1580,6816,4350,2183,48884,25615,2688,1339,4367,3398,39973,11903,25033,2756,7751,778,66381,861,84676,57306,6612,11817,3976,58460,25033,49257,12351,392,393,5509,21744,840,34,185,100,62,5344,478,3,6039,546,8,3175,736,188,110,370,97,277,115,3797,12198,17455,4547,9568,7284,5813,71899,4546,8835,153,2543,50761,848,17814,82162,81047,48815,13582,56449,44354,52.69,Liberal
Sydney,6806,3950,2952,8308,28281,36276,30142,19015,13337,10888,9590,8332,6811,5806,3805,2646,1787,1009,357,84,4,22925,4189,54601,15754,10519,42192,55,4525,4981,26732,13707,14604,11907,11631,8635,4158,8161,16902,12951,10213,10468,9352,9315,11851,1087,19857,13707,25384,13837,4781,190,3216,4187,8526,475,9716,9270,3741,5597,2747,203,87786,1419,3106,18354,6507,2307,8108,3409,2701,77675,29778,3039,1902,3296,3982,43615,23193,13707,7194,7741,673,95363,1419,87786,118322,3526,12805,3736,48080,13707,36328,22234,5327,1420,3962,11507,367,16,90,60,22,2484,221,7,3151,233,6,3447,451,140,80,414,103,210,147,6291,34566,29221,5495,16501,15689,14496,57042,2799,2860,1694,925,88983,1271,30120,103710,96475,35965,29347,85126,49741,68.67,Labor
Tangney,6641,8438,8905,9724,9188,7608,7478,8140,9180,9604,9249,9026,8613,7597,5343,4102,3215,2421,1227,314,17,7620,3310,25549,11317,13100,33726,36,5464,3720,8212,23980,8386,6467,6071,4776,6287,7350,8640,6850,7479,7489,7367,6901,7478,552,12965,23980,7000,4112,1704,284,1156,4789,7447,736,1878,8517,2313,721,3215,2833,72071,485,2118,5939,4048,1398,6033,2544,1717,37189,23920,2066,795,2674,2566,37830,5018,23980,2459,8178,787,52065,485,72071,34816,6095,7632,2449,61055,23980,55324,6221,79,123,4694,22037,718,35,133,59,27,8947,593,7,7597,508,9,1487,707,175,66,110,48,235,79,1512,3429,10295,3051,3253,4478,5452,70702,3489,2490,121,1293,41908,492,10095,66123,69916,54979,6769,40497,33799,61.47,Liberal
Wannon,8260,9343,9364,9355,7719,7528,7516,7918,9182,10339,10959,11188,10945,10130,7509,5612,3986,2714,1183,274,43,1843,2149,10997,9762,23422,39670,128,15943,3266,16880,26968,9895,5766,4344,2835,5628,9827,3050,1745,13023,12946,11452,10818,10936,812,7363,26968,13571,4529,1606,9645,827,4682,5072,681,780,9489,1680,515,6410,545,83969,933,2260,2131,3837,562,6549,2650,1682,38328,24232,3125,1486,2070,1334,44399,9182,26968,862,6954,1824,56563,933,83969,38992,8848,10769,4158,61335,26968,52735,10594,144,173,5667,23206,1215,119,237,53,47,5333,607,24,6804,643,7,901,427,206,89,35,31,74,97,838,3663,16918,6506,6889,6711,783,84069,324,341,58,440,48757,607,15700,75267,75821,52364,11224,42462,45066,60.38,Liberal
Warringah,9152,10023,8834,7517,6985,9620,11741,11897,12350,11424,10029,8597,6987,6655,5455,3826,2717,2147,1073,296,22,12870,3479,34066,12786,10378,26988,37,4064,4336,10319,28008,9639,7798,7652,5845,4385,4697,12085,16169,5086,5816,6229,6553,7962,400,9309,28008,9692,4552,2889,210,1626,4943,6146,441,7908,7815,2748,3213,2714,182,69868,689,2366,13027,3235,2251,5771,2032,2704,51272,22850,2290,1051,1484,1429,31293,7645,28008,2151,5169,661,68794,689,69868,42019,5177,10148,2697,59280,28008,53182,12144,349,271,4348,25452,704,29,50,40,26,7016,437,10,5573,427,5,1093,574,135,63,83,46,131,49,1561,5300,13860,3437,6199,4739,2249,74885,1125,625,702,610,53059,639,13440,71037,76296,52813,13134,40708,40682,57.24,Independent
Watson,12541,12105,10563,10891,13062,14815,14681,12651,11351,11042,10895,9623,8028,6516,5109,4255,3245,2239,942,237,14,8181,1658,22158,11837,13404,48068,59,13457,8001,12772,35210,10548,6451,4734,3184,6028,12183,4203,1890,13804,12410,10440,10586,11129,1100,19855,35210,11065,5872,3195,129,919,6364,5020,354,3515,8070,3010,1400,4007,43,104244,1687,2931,4618,3410,1106,7540,5192,2189,42642,23933,1802,2184,3463,3149,53960,8457,35210,1914,5012,561,61387,1687,104244,46012,6865,10194,4478,72044,35210,63753,4550,211,266,7580,31958,820,37,156,121,91,10116,524,5,13748,653,4,2750,1667,282,124,412,170,548,270,3451,6533,10218,3553,7179,3083,8775,76038,5691,40903,82,1069,27527,370,14347,87612,87191,62676,6108,59036,46987,63.52,Labor
Wentworth,8142,7693,6545,5772,7974,14726,16127,13092,11110,10010,8464,7550,6475,6673,5081,3815,2777,2147,1331,392,50,15044,3334,39478,10920,7330,24938,14,3090,3760,15658,22384,9742,8392,8389,6406,3102,3771,12985,17767,4494,5137,5574,5983,7614,492,8581,22384,15132,5081,3239,200,2225,4027,6078,301,7934,8018,2935,4005,1953,132,67161,794,2177,14347,3152,2640,5374,1972,2191,54440,21110,2095,1147,1571,1437,28865,12897,22384,3035,5041,399,69515,794,67161,56709,5459,9905,2523,48977,22384,42027,14173,1315,474,3881,19533,570,11,28,28,18,5201,349,0,3943,237,0,1308,386,99,68,99,49,107,56,1667,11667,17427,3832,10922,6481,1941,55180,672,571,18217,395,49089,695,19187,69852,76095,41638,16353,46543,41412,51.31,Liberal
Werriwa,12417,13426,13251,13200,12370,11209,12269,12003,12173,11705,11505,10117,7979,6158,4183,3154,1996,1221,469,95,4,4088,993,14956,11302,17863,48926,140,13435,7467,12652,39092,11514,7327,5493,3424,5781,10930,3949,1413,12216,9710,9078,10399,11835,823,16961,39092,10969,4005,2410,582,672,7018,4496,597,3304,7841,3273,1002,6984,85,100822,1483,2690,3266,3707,914,7318,5718,2713,46336,20001,1748,1996,3350,2649,47519,8210,39092,1796,5923,615,60265,1483,100822,44351,5746,9225,4875,67621,39092,62573,5290,76,111,8286,34821,1093,141,406,256,77,11644,659,19,16129,1096,10,2144,2079,371,154,193,138,528,194,1701,1536,6756,3310,7176,1938,12853,90365,8418,21761,21,3560,19278,472,14188,84313,86596,61308,6746,53633,49213,55.47,Labor
Whitlam,9154,10026,9879,10105,8478,8041,8596,8631,9693,9922,10227,10137,9143,9200,7565,5813,4026,2428,1000,201,16,3031,1654,11081,10926,26062,39531,145,13432,4958,12399,29065,9684,6186,5193,3792,5351,9040,4945,2167,13751,12217,10632,9985,10068,543,10019,29065,9640,4883,2415,701,811,6686,5223,728,1968,9244,1981,586,4447,1231,87886,737,2839,2871,3939,1022,7440,3268,1382,38335,22582,2408,1069,2454,1915,47553,6902,29065,1825,6296,1034,54512,737,87886,37624,7920,11568,4199,61909,29065,56482,9190,181,197,7564,25172,1365,188,354,124,66,6297,759,30,9916,1162,10,1002,1057,385,153,49,52,147,87,1334,2285,12547,4591,4974,4552,1252,97624,556,1906,114,508,38524,585,11210,73935,78347,55755,10291,44845,41384,60.91,Labor
Wide Bay,6973,8572,9177,8059,5997,5736,6308,7122,8674,9791,10526,11284,11269,11553,8837,5803,3652,2164,958,227,37,2033,1642,10087,9980,23492,40365,129,11494,3703,15054,24716,7768,4599,3860,2289,4883,10497,2773,1836,15388,13809,11045,9790,8877,591,7668,24716,12282,4654,1985,2610,671,4954,4726,534,758,6937,1807,498,3502,860,90135,683,2197,2331,2648,1071,5918,2126,1095,28913,20584,2036,1024,3362,1890,50971,9193,24716,620,5067,1069,45113,683,90135,33683,7316,13952,4792,58228,24716,50626,10529,158,193,6601,20888,1397,116,327,88,75,4212,521,14,6397,711,13,941,826,249,100,45,46,104,112,1440,3948,14272,5684,6749,5312,1382,78696,247,111,107,727,45866,679,14890,70602,72088,50070,11441,40546,40633,63.15,Liberal National Party of Queensland
Wills,9696,8201,6695,6759,12407,17361,16848,13501,10865,9661,8456,7303,5858,5062,4016,4275,3817,2751,1172,227,36,11204,4488,28247,10887,12989,33157,72,12596,4797,11956,24559,11403,8330,7096,4841,4901,9626,7052,3188,11574,10864,9227,9032,10444,587,11400,24559,10829,6181,2762,193,2215,5018,8589,738,3436,9015,2262,2221,4032,128,78294,1010,2658,8052,4943,954,6700,3672,1941,47681,25136,2307,1493,3041,2655,39972,8054,24559,4701,7678,993,62244,1010,78294,57512,7373,8379,3165,53915,24559,47649,12496,684,765,5411,22234,557,11,95,59,29,5820,370,0,8100,372,0,2374,710,191,108,288,101,229,153,2490,13376,15890,4174,6650,3611,3170,65549,4658,15492,212,1339,50297,942,13292,75823,79116,47097,14495,55920,37378,58.17,Australian Labor Party
Wright,9525,11596,11791,10953,8751,7985,8889,9638,11473,11951,11593,10374,9194,8623,6081,3760,2251,1269,591,142,18,2371,1593,10794,10645,25946,43568,100,10577,3819,14108,32906,10577,6931,5951,3444,5369,8906,4306,1950,11484,10663,10010,10450,10688,604,9954,32906,12252,4067,2343,4116,1068,8632,6123,842,1250,7318,2755,700,5276,749,85800,857,3114,3383,3860,1211,6685,4121,2186,43676,22965,2505,1497,2964,1925,39146,8852,32906,1552,6327,1294,60618,857,85800,38828,5043,10915,4562,64190,32906,57596,11484,176,211,5829,27958,1858,214,350,144,123,6047,819,46,8386,1186,19,1104,1385,234,100,70,55,139,119,2182,3477,8435,4630,7944,4098,1499,92057,424,620,121,832,45066,641,15176,77958,78483,56713,12757,39646,47318,64.58,Liberal National Party of Queensland
