Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA1 (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGE5P - Age in Five Year Groups","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","Total",
"SA1 (UR)",
"1101711",0,16,20,18,6,8,6,11,22,24,22,45,32,20,14,14,5,5,3,0,0,311,
"1101712",41,36,42,26,31,20,24,21,29,30,31,44,34,45,29,23,17,0,0,0,0,524,
"1101713",22,31,20,20,12,25,13,18,13,24,22,26,32,36,28,26,8,13,5,0,0,389,
"1101714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1101715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1101716",28,51,29,14,16,20,31,26,19,27,19,39,30,38,27,10,18,9,0,0,0,457,
"1101717",11,12,6,20,17,10,10,8,9,8,16,11,13,28,26,18,19,13,3,0,0,249,
"1101718",17,20,14,12,13,13,22,13,28,18,31,19,43,31,21,27,18,7,3,9,0,375,
"1101719",5,28,25,15,12,19,14,7,25,23,23,22,46,40,28,18,12,5,4,0,0,369,
"1101720",11,12,15,14,10,7,7,11,17,10,17,19,22,30,27,13,7,0,0,0,0,244,
"1101721",19,27,20,20,25,12,15,10,27,25,20,33,23,24,28,4,10,6,0,0,0,355,
"1101722",20,25,31,14,21,24,17,23,17,28,23,35,34,51,56,40,17,10,5,0,0,486,
"1101801",13,13,20,15,8,12,14,17,20,10,21,24,33,33,31,18,11,3,0,0,0,318,
"1101802",3,9,9,25,7,10,9,14,17,13,21,17,27,45,30,13,10,4,0,0,0,285,
"1101803",14,31,30,20,10,11,14,15,30,30,33,41,23,30,17,14,6,0,0,0,0,373,
"1101804",3,10,3,3,0,7,5,5,6,3,3,12,25,16,10,20,8,8,3,0,0,165,
"1101805",11,15,11,16,3,5,12,10,6,20,14,30,34,34,26,10,6,5,0,0,0,289,
"1101806",18,30,19,19,26,8,25,27,25,21,18,37,38,56,39,32,14,9,0,0,0,445,
"1101807",36,19,21,24,16,16,24,22,28,20,22,32,41,39,34,16,12,6,7,0,0,440,
