Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"2016 Census - Employment, Income and Education",,,,,,,,,,,,,,,,,,,,,,,
CED (UR) by INDP - 1 Digit Level,,,,,,,,,,,,,,,,,,,,,,,
Counting: Persons Place of Usual Residence,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,,,,,
Default Summation,Persons Place of Usual Residence,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
INDP - 1 Digit Level,"Agriculture, Forestry and Fishing",Mining,Manufacturing,"Electricity, Gas, Water and Waste Services",Construction,Wholesale Trade,Retail Trade,Accommodation and Food Services,"Transport, Postal and Warehousing",Information Media and Telecommunications,Financial and Insurance Services,"Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services",Administrative and Support Services,Public Administration and Safety,Health Care and Social Assistance,Education and Training,Arts and Recreation Services,Other Services,Inadequately described,Not stated,Not applicable,Total
CED (UR),,,,,,,,,,,,,,,,,,,,,,,
Adelaide,638,720,4263,786,4077,1971,7088,6331,2305,1501,2780,1352,7597,2414,6182,12511,7823,1386,2579,1703,663,86767,163440
Barker,11257,514,7798,612,4222,2004,7193,4082,2704,415,821,591,1612,2245,2842,7330,4529,494,2414,1564,718,83534,149501
Boothby,347,590,3629,890,4977,1710,6773,4389,2050,1138,2530,1041,5115,2306,5419,12423,8026,1143,2559,1400,476,76912,145832
Grey,7726,3427,3919,678,3885,1335,5931,3975,2317,294,687,547,1280,1709,3295,7368,4890,419,2050,1146,690,85969,143524
Hindmarsh,368,575,4497,919,5211,2121,7417,5486,3227,1197,2731,1202,5009,2576,5396,10569,6446,1533,2844,1573,648,79697,151244
Kingston,462,563,5307,938,6697,1658,8323,4026,2663,881,2050,805,2640,2719,4488,11177,4713,827,2939,1516,583,81935,147907
Makin,461,423,6267,965,6055,2332,8037,3941,3216,924,2042,879,3275,2566,6105,10161,5819,845,2936,1580,598,80073,149515
Mayo,3719,893,4404,811,5704,1552,6235,4150,2125,680,1441,941,3818,2201,4152,9040,6056,980,2484,1543,482,76958,140368
Port Adelaide,1034,386,7776,972,5244,2474,8007,4802,4247,887,1551,758,2916,2963,5146,10266,4547,922,3015,2001,831,94346,165088
Sturt,398,545,3886,766,4756,1889,6919,4596,2118,1111,2574,1179,6101,2262,4961,11031,7073,940,2670,1487,550,81338,149159
Wakefield,3574,572,7778,824,5739,2122,7780,3912,3923,585,1079,658,2094,2784,4897,8531,4546,644,2587,1917,758,100888,168207
No usual address (SA),104,16,61,13,67,18,47,56,47,6,9,8,31,35,37,68,34,13,21,36,13,2133,2862
Migratory - Offshore - Shipping (SA),0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Brand,550,4211,5528,981,8169,1791,7583,4178,3344,605,1308,1152,3072,2355,6225,8081,5331,961,2773,2711,717,92387,164025
Burt,499,3169,5638,934,7253,2876,8443,4729,5174,698,1683,1177,3917,2502,4650,9427,5657,1054,3441,3143,874,91828,168783
Canning,1246,5369,4421,732,7342,1306,6417,3503,2739,448,900,1106,2324,1938,3218,6436,4824,881,2458,2147,637,85645,146016
Cowan,653,2572,4702,779,8209,2081,7778,4104,3238,728,1904,1056,3670,2508,4306,8152,5237,1069,3390,2718,843,77845,147537
Curtin,450,3902,2165,635,4574,1271,5400,4302,1487,959,2605,1811,9050,2041,3714,10982,7860,1429,1896,2285,512,73744,143092
Durack,6941,13718,2293,1001,7933,1574,5805,5239,4789,381,715,1158,2814,2752,5291,7166,7014,787,3131,2859,847,97541,181762
Forrest,3208,3876,5857,997,7490,1053,7341,4912,2262,471,890,1117,2378,2279,2905,7286,5501,842,2535,2063,621,81895,147770
Fremantle,530,3093,4886,864,7146,2002,6858,4413,3410,712,1668,1171,5134,2186,4507,9598,7502,1336,2814,2872,682,75365,148741
Hasluck,606,3475,4208,655,6529,2245,6395,3691,4701,614,1278,1013,3588,2147,4476,7301,5420,1004,3100,2654,716,77803,143625
Moore,351,3234,3127,845,8838,1787,7156,3850,2086,938,2486,1260,5549,2278,4704,8864,7896,1238,2783,2415,590,67977,140262
O'Connor,9458,7252,3282,862,4803,1683,6153,4070,3245,371,813,852,1993,1728,4027,6701,5902,796,2843,2001,769,86723,156319
Pearce,2605,4817,4698,940,10519,2342,8857,5020,4054,726,1995,1411,3828,2892,5290,9660,6059,1081,3752,3031,902,97278,181766
Perth,313,4093,3400,811,6058,1766,6338,6636,2764,1158,2616,1488,8386,2795,5762,9237,6629,1695,2872,2777,697,72807,151089
Stirling,357,2631,3449,790,7207,1787,6934,4901,2777,974,2253,1382,5863,2647,4409,9189,6078,1300,2898,2595,770,76817,147993
Swan,410,3947,3595,789,6365,2183,6816,6724,4350,932,2239,1580,6549,3100,4688,9201,6530,1805,3024,2858,861,84676,163199
Tangney,284,2833,3215,736,4789,1717,6033,4112,2544,721,1878,1398,5939,1704,4048,8517,7447,1156,2118,2313,485,72071,136035
No usual address (WA),131,235,60,17,203,30,104,218,119,15,9,15,89,105,54,99,70,32,38,81,43,4177,5950
Migratory - Offshore - Shipping (WA),22,126,6,10,17,9,0,12,53,0,0,0,5,10,3,4,4,0,3,56,6,100,431
Bass,1644,262,3137,621,3255,1288,5173,3394,1858,522,1114,590,1857,1170,2363,6607,4287,736,1598,1043,445,58430,101389
Braddon,3167,1292,3784,430,2855,977,4447,2830,2159,260,486,413,1189,1303,1989,5169,3227,350,1595,1044,419,57665,97058
