Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"CED (UR) by RLHP Relationship in Household"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"RLHP Relationship in Household","Husband, Wife or Partner in a registered marriage","Husband, Wife or Partner in de facto marriage, opposite-sex couple","Husband, Wife or Partner in de facto marriage, male same-sex couple","Husband, Wife or Partner in de facto marriage, female same-sex couple","Lone parent","Natural or adopted child under 15","Step child under 15","Foster child under 15","Grandchild under 15","Otherwise related child under 15","Unrelated child under 15","Natural or adopted dependent student","Dependent student step child","Dependent student foster child","Non-dependent natural, or adopted child","Non-dependent step child","Non-dependent foster child","Brother/sister","Father/mother","Non-dependent grandchild","Grandfather/grandmother","Cousin","Uncle/aunt","Nephew/niece","Other related individual (nec)","Unrelated individual living in family household","Group household member","Lone person","Visitor (from within Australia)","Other non-classifiable relationship","Not applicable","Total",
"CED (UR)",
"Fairfax",55754,11620,204,255,6405,25047,1388,40,192,59,53,5414,619,4,6594,791,11,1075,967,170,81,49,38,112,100,1904,5130,13161,5293,5848,5084,153467,
"Fisher",51338,10242,137,255,6026,21620,1355,55,195,73,54,4951,640,11,6330,739,10,949,822,206,89,72,38,96,91,1698,4429,12302,4802,5035,5516,140168,
"Flynn",52047,12899,101,183,5566,28485,1872,184,323,133,61,4098,585,25,5950,640,14,982,680,226,98,61,50,119,133,1263,3402,12770,6559,9638,6330,155484,
"Forde",54346,13701,185,327,8283,31614,2200,168,377,199,136,6340,885,27,9581,1274,9,1772,1461,283,109,138,105,310,188,2627,3898,9748,4651,7353,3254,165537,
"Griffith",45739,14823,721,623,5003,22284,844,33,76,54,33,5982,528,9,4874,396,0,2361,516,128,73,185,78,190,91,2996,13978,16588,4901,7420,6068,157606,
"Groom",52122,9357,126,156,6212,26100,1506,208,272,147,62,5265,550,30,6533,704,7,1208,641,198,80,104,53,117,95,1319,3959,14031,5026,6334,6332,148864,
"Herbert",45512,14936,223,359,7758,27469,1924,141,448,211,78,5504,715,14,6647,816,7,1648,882,301,128,134,85,247,183,1820,6220,13922,5421,7635,8601,159999,
"Hinkler",50982,9874,107,168,6876,20637,1527,109,283,93,79,3934,593,14,6141,727,16,998,986,247,114,65,60,111,93,1384,4010,14607,5766,6355,4748,141717,
"Kennedy",48064,13190,84,148,6744,25611,1490,263,541,298,73,4030,462,34,7138,685,17,1332,842,388,139,153,121,268,222,1498,3496,14483,5999,10004,7583,155394,
"Leichhardt",46142,17354,416,367,8700,29627,1607,170,783,356,94,4928,581,14,7325,847,10,1701,1086,452,197,211,205,495,410,2012,6567,16018,6305,11273,9205,175451,
"Lilley",52605,12359,481,481,6480,24603,1138,72,144,109,59,6177,637,13,7499,654,5,2208,892,235,104,159,90,244,107,2146,6722,15768,4005,4522,4661,155380,
"Longman",55256,12617,133,276,7886,27552,2348,144,362,163,89,5691,934,21,8519,1326,10,1222,1267,303,127,79,58,154,141,2215,4125,11269,5093,6773,4414,160600,
"Maranoa",51279,10861,67,115,5724,24959,1495,117,335,105,59,3600,465,10,5857,572,5,993,609,260,116,78,52,104,111,1267,3250,15277,6697,8518,6302,149264,
"McPherson",51233,11542,184,234,7277,23959,1217,79,203,77,53,6020,687,6,7482,889,8,1225,1021,236,123,94,57,149,95,1988,6102,12828,4467,6612,5426,151575,
"Moncrieff",47480,13877,405,265,7143,19314,1072,43,142,89,44,5022,559,7,6650,751,7,1667,962,176,86,127,61,140,127,2647,11318,18335,4919,10167,7124,160732,
"Moreton",54020,9001,305,361,5851,24975,913,45,199,118,82,7549,488,4,7429,549,4,2402,1089,234,105,297,111,352,215,5275,11163,10853,4298,5354,4428,158070,
